Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2279
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2330
"GET /admin/ HTTP/1.1" 302 0
"GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
"GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
"GET /static/admin/css/login.css HTTP/1.1" 200 958
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
"GET /static/admin/js/theme.js HTTP/1.1" 200 1943
"GET /static/admin/css/base.css HTTP/1.1" 200 21310
"GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
"POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
"GET /admin/ HTTP/1.1" 200 10127
"GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
"GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
"GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
"GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
"GET /admin/events/event/ HTTP/1.1" 200 10428
"GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
"GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
"GET /static/admin/js/actions.js HTTP/1.1" 200 7872
"GET /static/admin/js/core.js HTTP/1.1" 200 5682
"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
"GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
"GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
"GET /static/admin/js/filters.js HTTP/1.1" 200 978
"GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
"GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
"GET /admin/events/event/add/ HTTP/1.1" 200 18357
"GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
"GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
"GET /static/admin/css/forms.css HTTP/1.1" 200 9090
"GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"GET /static/admin/css/widgets.css HTTP/1.1" 200 11921
"GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
"GET /static/admin/js/change_form.js HTTP/1.1" 200 606
"GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
"GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
"GET /static/admin/img/calendar-icons.svg HTTP/1.1" 200 1094
"GET /admin/events/venue/add/?_to_field=id&_popup=1 HTTP/1.1" 200 5665
"GET /static/admin/css/responsive.css HTTP/1.1" 304 0
"GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
"GET /static/admin/css/base.css HTTP/1.1" 304 0
"GET /static/admin/js/theme.js HTTP/1.1" 304 0
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"POST /admin/events/venue/add/?_to_field=id&_popup=1 HTTP/1.1" 200 325
"GET /static/admin/js/popup_response.js HTTP/1.1" 200 551
"GET /admin/events/category/add/?_to_field=id&_popup=1 HTTP/1.1" 200 4408
"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
"GET /static/admin/js/core.js HTTP/1.1" 304 0
"GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
"GET /static/admin/css/forms.css HTTP/1.1" 304 0
"GET /static/admin/js/urlify.js HTTP/1.1" 304 0
"GET /static/admin/js/actions.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
"GET /static/admin/css/widgets.css HTTP/1.1" 304 0
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"GET /static/admin/js/change_form.js HTTP/1.1" 304 0
"POST /admin/events/category/add/?_to_field=id&_popup=1 HTTP/1.1" 200 324
"POST /admin/events/event/add/ HTTP/1.1" 302 0
"GET /admin/events/event/ HTTP/1.1" 200 11783
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
"GET /static/admin/css/changelists.css HTTP/1.1" 304 0
"GET /static/admin/js/filters.js HTTP/1.1" 304 0
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
"GET /admin/tickets/ticket/ HTTP/1.1" 200 10439
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"GET /admin/tickets/ticket/add/ HTTP/1.1" 200 16235
"GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
"GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
"GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
"GET /admin/jsi18n/ HTTP/1.1" 200 3343
"GET /accounts/login/ HTTP/1.1" 200 1120
"GET /accounts/register/ HTTP/1.1" 200 1898
"POST /accounts/register/ HTTP/1.1" 200 2077
"POST /accounts/register/ HTTP/1.1" 302 0
"GET /accounts/login/ HTTP/1.1" 200 1120
"POST /accounts/login/ HTTP/1.1" 302 0
Not Found: /
"GET / HTTP/1.1" 404 2279
Not Found: /accounts
"GET /accounts HTTP/1.1" 404 2321
/Users/omar/app-tiketera/core/models.py changed, reloading.
Watching for file changes with StatReloader
/Users/omar/app-tiketera/tiketera/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
Not Found: /accounts
"GET /accounts HTTP/1.1" 404 2911
"GET / HTTP/1.1" 200 3327
